Username,Firstname,Lastname,Party,Tweets,Followers,Constituency
alexwhitetd,Alex,White,Labour,,6324,Dublin Rathdown
campaignforleo,Leo,Varadkar,Fine Gael,1844,,Dublin West
claredalytd,Clare,Daly,Independent/Other,1984,13410,Dublin Fingal
cllrquinlivan,Maurice,Quinlivan,Sinn Fein,,2936,Limerick City
clr_aaa,Ciaran,Leonardi Roche,People Before Profit,64,207,Cork East
daracalleary,Dara,Calleary,Fianna Fail,5074,,Mayo
davidstantontd,David,Stanton,Fine Gael,692,,Cork East
donnellystephen,Stephen,Donnelly,Social Democrats,4117,22072,Wicklow
drjamesreilly,James,Reilly,Fine Gael,587,8871,Dublin Fingal
eamonryan,Eamon,Ryan,Green Party,,16110,Dublin Bay South
endakennytd,Enda,Kenny,Fine Gael,406,43657,Mayo
janosullivantd,Jan,O'Sullivan,Labour,1829,,Limerick City
jerrybuttimer,Jerry,Buttimer,Fine Gael,,11806,Cork South Central
joanburton,Joan,Burton,Labour,922,15402,Dublin West
kodonnelltd,Kieran,O'Donnell,Fine Gael,140,1889,Limerick City
lcreighton,Lucinda,Creighton,Renua,4238,21330,Dublin Bay South
maryloumcdonald,Mary Lou,McDonald,Sinn Fein,5214,25855,Dublin Central
michealmartintd,Micheal,Martin,Fianna Fail,942,16626,Cork South Central
mulherinfg,Michelle,Mulherin,Fine Gael,,1751,Mayo
paschald,Paschal,Donohoe,Fine Gael,7493,,Dublin Central
seansherlocktd,Sean,Sherlock,Labour,,9906,Cork East
shane_rosstd,Shane,Ross,Independent/Other,2962,36021,Dublin Rathdown
simoncoveney,Simon,Coveney,Fine Gael,,,Cork South Central
simonharristd,Simon,Harris,Fine Gael,7378,9913,Wicklow
tombarrytd,Tom,Barry,Fine Gael,109,1783,Cork East