total_bill,tip
16.99,1.01
10.34,1.66
21.01,3.5
23.68,3.31
24.59,3.61
25.29,4.71
8.77,2
26.88,3.12
15.04,1.96
14.78,3.23
10.27,1.71
35.26,5
15.42,1.57
18.43,3
14.83,3.02
21.58,3.92
10.33,1.67
16.29,3.71
16.97,3.5
20.65,3.35
17.92,4.08
20.29,2.75
15.77,2.23
39.42,7.58
19.82,3.18
17.81,2.34
13.37,2
12.69,2
21.7,4.3
19.65,3
9.55,1.45
18.35,2.5
15.06,3
20.69,2.45
17.78,3.27
24.06,3.6
16.31,2
16.93,3.07
18.69,2.31
31.27,5
16.04,2.24
17.46,2.54
13.94,3.06
9.68,1.32
30.4,5.6
18.29,3
22.23,5
32.4,6
28.55,2.05
18.04,3
12.54,2.5
10.29,2.6
34.81,5.2
9.94,1.56
25.56,4.34
19.49,3.51
38.01,3
26.41,1.5
11.24,1.76
48.27,6.73
20.29,3.21
13.81,2
11.02,1.98
18.29,3.76
17.59,2.64
20.08,3.15
16.45,2.47
3.07,1
20.23,2.01
15.01,2.09
12.02,1.97
17.07,3
26.86,3.14
25.28,5
14.73,2.2
10.51,1.25
17.92,3.08
27.2,4
22.76,3
17.29,2.71
19.44,3
16.66,3.4
10.07,1.83
32.68,5
15.98,2.03
34.83,5.17
13.03,2
18.28,4
24.71,5.85
21.16,3
28.97,3
22.49,3.5
5.75,1
16.32,4.3
22.75,3.25
40.17,4.73
27.28,4
12.03,1.5
21.01,3
12.46,1.5
11.35,2.5
15.38,3
44.3,2.5
22.42,3.48
20.92,4.08
15.36,1.64
20.49,4.06
25.21,4.29
18.24,3.76
14.31,4
14,3
7.25,1
38.07,4
23.95,2.55
25.71,4
17.31,3.5
29.93,5.07
10.65,1.5
12.43,1.8
24.08,2.92
11.69,2.31
13.42,1.68
14.26,2.5
15.95,2
12.48,2.52
29.8,4.2
8.52,1.48
14.52,2
11.38,2
22.82,2.18
19.08,1.5
20.27,2.83
11.17,1.5
12.26,2
18.26,3.25
8.51,1.25
10.33,2
14.15,2
16,2
13.16,2.75
17.47,3.5
34.3,6.7
41.19,5
27.05,5
16.43,2.3
8.35,1.5
18.64,1.36
11.87,1.63
9.78,1.73
7.51,2
14.07,2.5
13.13,2
17.26,2.74
24.55,2
19.77,2
29.85,5.14
48.17,5
25,3.75
13.39,2.61
16.49,2
21.5,3.5
12.66,2.5
16.21,2
13.81,2
17.51,3
24.52,3.48
20.76,2.24
31.71,4.5
10.59,1.61
10.63,2
50.81,10
15.81,3.16
7.25,5.15
31.85,3.18
16.82,4
32.9,3.11
17.89,2
14.48,2
9.6,4
34.63,3.55
34.65,3.68
23.33,5.65
45.35,3.5
23.17,6.5
40.55,3
20.69,5
20.9,3.5
30.46,2
18.15,3.5
23.1,4
15.69,1.5
19.81,4.19
28.44,2.56
15.48,2.02
16.58,4
7.56,1.44
10.34,2
43.11,5
13,2
13.51,2
18.71,4
12.74,2.01
13,2
16.4,2.5
20.53,4
16.47,3.23
26.59,3.41
38.73,3
24.27,2.03
12.76,2.23
30.06,2
25.89,5.16
48.33,9
13.27,2.5
28.17,6.5
12.9,1.1
28.15,3
11.59,1.5
7.74,1.44
30.14,3.09
12.16,2.2
13.42,3.48
8.58,1.92
15.98,3
13.42,1.58
16.27,2.5
10.09,2
20.45,3
13.28,2.72
22.12,2.88
24.01,2
15.69,3
11.61,3.39
10.77,1.47
15.53,3
10.07,1.25
12.6,1
32.83,1.17
35.83,4.67
29.03,5.92
27.18,2
22.67,2
17.82,1.75
18.78,3