ID,Event_Type,Location,Country,Venue,Date,Start_Time,End_Time,Duration
1,Non-Subscription,Manhattan,USA,Avery Fisher Hall,07/09/2011,19:30,23:05,215
2,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/09/2011,19:30,22:50,200
3,Insight Series,Manhattan,USA,The Stanley H. Kaplan Penthouse,09/09/2011,18:30,21:00,150
4,Special,Manhattan,USA,Avery Fisher Hall,10/09/2011,19:30,22:44,194
5,Parks,Manhattan,USA,Great Lawn,15/09/2011,20:00,23:47,227
6,Special,Manhattan,USA,Avery Fisher Hall,17/09/2011,20:00,23:22,202
7,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2011,19:30,22:28,178
8,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2011,19:30,22:21,171
9,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/09/2011,20:00,22:32,152
10,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/09/2011,19:30,22:54,204
11,Runout,Katonah,USA,Caramoor Venetian Theater,23/09/2011,19:30,21:48,138
12,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/09/2011,20:00,23:10,190
13,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/10/2011,20:00,23:33,213
14,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/10/2011,19:30,21:52,142
15,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,01/10/2011,14:00,16:08,128
16,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/10/2011,19:30,23:00,210
17,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/10/2011,19:30,21:58,148
18,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/10/2011,11:00,14:12,192
19,Chamber,Manhattan,USA,Merkin Concert Hall,09/10/2011,15:00,18:08,188
20,Special,Manhattan,USA,Alice Tully Hall,10/10/2011,14:00,17:45,225
21,Chamber,Manhattan,USA,Avery Fisher Hall,11/10/2011,19:30,22:18,168
22,Chamber Concert (Private),Manhattan,USA,St. Thomas More Church,12/10/2011,19:00,21:45,165
23,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/10/2011,19:30,22:02,152
24,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/10/2011,14:00,17:11,191
25,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/10/2011,20:00,23:10,190
26,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/10/2011,19:30,22:20,170
27,Young People's Concert,Manhattan,USA,Avery Fisher Hall,15/10/2011,14:00,17:23,203
28,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,17/10/2011,19:00,22:18,198
29,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/10/2011,19:30,22:01,151
30,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/10/2011,11:00,13:20,140
31,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/10/2011,20:00,22:35,155
32,Non-Subscription,Manhattan,USA,Avery Fisher Hall,25/10/2011,19:30,22:54,204
33,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/10/2011,19:30,22:29,179
34,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/10/2011,20:00,22:53,173
35,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/10/2011,20:00,22:30,150
36,Non-Subscription,Manhattan,USA,Avery Fisher Hall,02/11/2011,19:30,22:14,164
37,Non-Subscription,Manhattan,USA,Avery Fisher Hall,03/11/2011,19:30,21:57,147
38,Tour,Montreal,CANADA,L'Addresse Symphonique,04/11/2011,20:00,22:52,172
39,Tour,Montreal,CANADA,L'Addresse Symphonique,05/11/2011,14:30,17:07,157
40,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/11/2011,19:30,22:55,205
41,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/11/2011,20:00,23:31,211
42,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/11/2011,20:00,22:47,167
43,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/11/2011,19:30,22:34,184
44,Young People's Concert,Manhattan,USA,Avery Fisher Hall,12/11/2011,14:00,17:34,214
45,Chamber,Staten Island,USA,"Center for the Arts, College of Staten Island / CUNY",14/11/2011,19:30,22:04,154
46,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/11/2011,19:30,22:45,195
47,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/11/2011,20:00,22:50,170
48,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/11/2011,20:00,21:59,119
49,Chamber,Manhattan,USA,Merkin Concert Hall,20/11/2011,15:00,18:38,218
50,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/11/2011,19:30,22:13,163
51,Subscription Season,Manhattan,USA,Avery Fisher Hall,25/11/2011,20:00,22:12,132
52,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/11/2011,20:00,23:29,209
53,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/11/2011,19:30,21:57,147
54,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,26/11/2011,14:00,18:11,251
55,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/12/2011,19:30,22:49,199
56,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/12/2011,11:00,12:41,101
57,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/12/2011,20:00,23:04,184
58,Chamber,Manhattan,USA,The Stanley H. Kaplan Penthouse,03/12/2011,15:00,18:17,197
59,Chamber,Manhattan,USA,Merkin Concert Hall,04/12/2011,15:00,17:26,146
60,Private Concert,Manhattan,USA,Doubles Club at the Sherry Netherland Hotel,06/12/2011,20:30,23:02,152
61,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/12/2011,19:30,21:48,138
62,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/12/2011,19:30,21:47,137
63,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/12/2011,20:00,22:25,145
64,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/12/2011,20:00,23:03,183
65,Chamber,Manhattan,USA,Avery Fisher Hall,11/12/2011,15:00,17:59,179
66,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/12/2011,19:30,21:28,118
67,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/12/2011,19:30,22:03,153
68,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/12/2011,19:30,22:20,170
69,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/12/2011,14:00,17:03,183
70,Contact!,Manhattan,USA,Metropolitan Museum of Art,16/12/2011,19:00,21:53,173
71,Contact!,Manhattan,USA,Symphony Space,17/12/2011,20:00,22:35,155
72,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/12/2011,19:30,22:19,169
73,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/12/2011,19:30,23:07,217
74,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/12/2011,19:30,21:30,120
75,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/12/2011,20:00,23:23,203
76,New Year's Eve,Manhattan,USA,Avery Fisher Hall,31/12/2011,20:00,23:23,203
77,Rush Hour,Manhattan,USA,Avery Fisher Hall,04/01/2012,18:45,21:33,168
78,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/01/2012,19:30,23:19,229
79,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/01/2012,20:00,23:05,185
80,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/01/2012,19:30,23:10,220
81,Runout,Greenvale,USA,Tilles Center for the Performing Arts (Main),06/01/2012,20:00,22:50,170
82,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/01/2012,19:30,21:56,146
83,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/01/2012,20:00,22:47,167
84,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/01/2012,20:00,23:50,230
85,Chamber,Manhattan,USA,Merkin Concert Hall,15/01/2012,15:00,18:36,216
86,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/01/2012,19:30,22:03,153
87,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/01/2012,20:00,22:56,176
88,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/01/2012,20:00,22:43,163
89,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/01/2012,19:30,23:06,216
90,Chamber,Manhattan,USA,Avery Fisher Hall,22/01/2012,15:00,19:14,254
91,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,22/01/2012,00:30,03:55,205
92,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,22/01/2012,15:00,18:37,217
93,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,23/01/2012,10:30,12:24,114
94,Non-Subscription,Manhattan,USA,Avery Fisher Hall,24/01/2012,19:30,22:53,203
95,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/01/2012,19:30,23:00,210
96,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/01/2012,20:00,22:53,173
97,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/01/2012,20:00,22:34,154
98,Tour,Cologne,GERMANY,K_lner Philharmonie,02/02/2012,20:00,23:32,212
99,Tour,Luxembourg,LUXEMBOURG,Philharmonie Luxembourg (Jos¸phine-Charlotte),03/02/2012,20:00,22:51,171
100,Tour,Luxembourg,LUXEMBOURG,Philharmonie Luxembourg (Jos¸phine-Charlotte),04/02/2012,20:00,23:00,180
101,Tour,Paris,FRANCE,Salle Pleyel,06/02/2012,20:00,23:19,199
102,Tour,Paris,FRANCE,Salle Pleyel,07/02/2012,20:00,22:41,161
103,Tour,Frankfurt,GERMANY,Alte Oper,08/02/2012,20:00,23:36,216
104,Tour,Frankfurt,GERMANY,Alte Oper,09/02/2012,20:00,22:36,156
105,Tour,Dusseldorf,GERMANY,Tonhalle,11/02/2012,20:00,22:03,123
106,Tour,Amsterdam,NETHERLANDS,Concertgebouw,13/02/2012,20:15,23:27,192
107,Tour,Amsterdam,NETHERLANDS,Concertgebouw,14/02/2012,20:15,23:23,188
108,Tour - Chamber,London,ENGLAND,Winfield House,15/02/2012,19:30,23:40,250
109,Tour,London,ENGLAND,Barbican Centre,16/02/2012,19:30,22:44,194
110,Tour,London,ENGLAND,Barbican Centre,17/02/2012,19:30,22:30,180
111,Young People's Concert,London,ENGLAND,Barbican Centre,18/02/2012,16:00,19:11,191
112,Tour,London,ENGLAND,Barbican Centre,18/02/2012,19:30,22:14,164
113,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/02/2012,19:30,22:56,206
114,Subscription Season,Manhattan,USA,Avery Fisher Hall,25/02/2012,20:00,22:38,158
115,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/02/2012,19:30,22:10,160
116,Runout,Philadelphia,USA,Verizon Hall at Kimmel Center,24/02/2012,20:00,23:03,183
117,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,26/02/2012,00:30,03:48,198
118,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,26/02/2012,15:00,17:19,139
119,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,27/02/2012,10:30,12:21,111
120,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/03/2012,19:30,21:52,142
121,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/03/2012,14:00,17:06,186
122,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/03/2012,20:00,22:50,170
123,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/03/2012,19:30,23:03,213
124,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/03/2012,19:30,21:52,142
125,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/03/2012,20:00,23:16,196
126,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/03/2012,19:30,22:15,165
127,Runout,Newark,USA,Prudential Hall,09/03/2012,20:00,22:55,175
128,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/03/2012,19:30,22:07,157
129,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/03/2012,11:00,12:21,81
130,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/03/2012,20:00,23:08,188
131,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/03/2012,19:30,22:54,204
132,Young People's Concert,Manhattan,USA,Avery Fisher Hall,17/03/2012,14:00,16:59,179
133,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/03/2012,19:30,21:48,138
134,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/03/2012,14:00,17:18,198
135,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/03/2012,20:00,23:19,199
136,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,25/03/2012,00:30,02:39,129
137,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,25/03/2012,15:00,18:34,214
138,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,26/03/2012,10:30,12:41,131
139,Pension Fund Benefit Concert,Manhattan,USA,Avery Fisher Hall,26/03/2012,19:30,21:34,124
140,Insight Series,Manhattan,USA,New York Institute of Technology Broadway Auditorium,27/03/2012,18:30,21:53,203
141,Rush Hour,Manhattan,USA,Avery Fisher Hall,28/03/2012,18:45,21:51,186
142,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/03/2012,19:30,22:36,186
143,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/03/2012,20:00,23:00,180
144,Subscription Season,Manhattan,USA,Avery Fisher Hall,31/03/2012,20:00,23:32,212
145,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,10/04/2012,19:00,21:56,176
146,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/04/2012,19:30,22:41,191
147,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/04/2012,20:00,22:44,164
148,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/04/2012,20:00,23:07,187
149,Young People's Concert,Manhattan,USA,Avery Fisher Hall,14/04/2012,14:00,16:50,170
150,Chamber,Manhattan,USA,Merkin Concert Hall,15/04/2012,15:00,19:09,249
151,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/04/2012,19:30,22:42,192
152,Special,Manhattan,USA,Alice Tully Hall,18/04/2012,19:30,23:59,269
153,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,18/04/2012,19:00,21:55,175
154,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/04/2012,19:30,23:16,226
155,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/04/2012,20:00,23:10,190
156,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/04/2012,20:00,23:16,196
157,Chamber Concert (Private),Manhattan,USA,Brick Church,23/04/2012,19:00,21:29,149
158,Rush Hour,Manhattan,USA,Avery Fisher Hall,25/04/2012,18:45,21:12,147
159,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/04/2012,19:30,22:51,201
160,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/04/2012,14:00,17:57,237
161,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/04/2012,20:00,23:07,187
162,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,30/04/2012,19:00,21:57,177
163,Special,Manhattan,USA,Carnegie Hall,02/05/2012,20:00,22:47,167
164,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/05/2012,19:30,22:38,188
165,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/05/2012,11:00,12:46,106
166,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/05/2012,20:00,22:38,158
167,Tour,Costa Mesa,USA,Segerstrom Concert Hall (Ren¸e and Henry),08/05/2012,20:00,22:06,126
168,Tour,Los Angeles,USA,Walt Disney Concert Hall,09/05/2012,20:00,23:26,206
169,Tour,Santa Barbara,USA,Granada Theater,10/05/2012,20:00,23:33,213
170,Tour,Davis,USA,Jackson Hall,12/05/2012,20:00,22:21,141
171,Tour,San Francisco,USA,Davies Symphony Hall,13/05/2012,19:00,21:29,149
172,Tour,San Francisco,USA,Davies Symphony Hall,14/05/2012,20:00,23:10,190
173,Tour,San Diego,USA,Copley Symphony Hall,15/05/2012,20:00,22:56,176
174,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,19/05/2012,14:00,17:17,197
175,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/05/2012,20:00,22:47,167
176,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/05/2012,19:30,22:38,188
177,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/05/2012,20:00,23:09,189
178,Pension Fund Benefit Concert,Manhattan,USA,Avery Fisher Hall,23/05/2012,19:30,21:33,123
179,Chamber Concert (Private),Manhattan,USA,Neue Galerie,24/05/2012,19:30,23:07,217
180,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,24/05/2012,00:00,02:53,173
181,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,24/05/2012,10:30,12:10,100
182,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,25/05/2012,10:30,12:06,96
183,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,25/05/2012,00:00,03:19,199
184,St. John the Divine,Manhattan,USA,The Cathedral Church of Saint John the Divine,28/05/2012,20:00,22:49,169
185,Subscription Season,Manhattan,USA,Avery Fisher Hall,31/05/2012,19:30,23:08,218
186,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/06/2012,20:00,23:33,213
187,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/06/2012,20:00,21:59,119
188,Chamber Concert (Private),Manhattan,USA,St. Regis Hotel,05/06/2012,19:45,22:35,170
189,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/06/2012,19:30,22:44,194
190,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/06/2012,19:30,22:13,163
191,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/06/2012,11:00,12:50,110
192,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/06/2012,20:00,23:26,206
193,Contact!,Manhattan,USA,Metropolitan Museum of Art,08/06/2012,19:00,22:06,186
194,Contact!,Manhattan,USA,Symphony Space,09/06/2012,20:00,22:46,166
195,Master Class,Manhattan,USA,The Stanley H. Kaplan Penthouse,12/06/2012,19:30,23:30,240
196,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/06/2012,19:30,22:14,164
197,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/06/2012,14:00,16:11,131
198,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/06/2012,20:00,22:41,161
199,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,16/06/2012,14:00,17:55,235
200,Chamber,Manhattan,USA,Merkin Concert Hall,17/06/2012,15:00,18:42,222
201,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/06/2012,19:30,22:54,204
202,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/06/2012,19:30,22:27,177
203,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/06/2012,20:00,23:27,207
204,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/06/2012,20:00,23:02,182
205,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/06/2012,19:30,22:23,173
206,Chamber Concert (Private),Manhattan,USA,Racquet and Tennis Club,27/06/2012,20:30,23:59,209
207,Non-Subscription,Manhattan,USA,Park Avenue Armory,29/06/2012,20:00,22:18,138
208,Non-Subscription,Manhattan,USA,Park Avenue Armory,30/06/2012,20:00,23:09,189
209,Summertime Classics,Manhattan,USA,Avery Fisher Hall,03/07/2012,19:30,22:19,169
210,Summertime Classics,Manhattan,USA,Avery Fisher Hall,05/07/2012,19:30,22:26,176
211,Summertime Classics,Manhattan,USA,Avery Fisher Hall,04/07/2012,15:00,18:32,212
212,Summertime Classics,Manhattan,USA,Avery Fisher Hall,06/07/2012,20:00,23:26,206
213,Summertime Classics,Manhattan,USA,Avery Fisher Hall,10/07/2012,19:30,22:35,185
214,Runout,Bethel,USA,Bethel Woods Center for the Arts,07/07/2012,20:00,22:42,162
215,Summertime Classics,Manhattan,USA,Avery Fisher Hall,09/07/2012,19:30,22:27,177
216,Parks,Brooklyn,USA,Prospect Park,11/07/2012,20:00,23:20,200
217,Parks,Manhattan,USA,Great Lawn,13/07/2012,20:00,22:40,160
218,Parks,Queens,USA,Cunningham Park,12/07/2012,20:00,23:12,192
219,Parks,Manhattan,USA,Great Lawn,16/07/2012,20:00,22:29,149
220,Parks,Bronx,USA,Van Cortlandt Park,17/07/2012,20:00,22:24,144
221,None,Staten Island,USA,City University of New York,15/07/2012,15:00,18:05,185
222,Tour,Vail,USA,Gerald R. Ford Amphitheater,20/07/2012,18:00,20:56,176
223,Tour,Vail,USA,Gerald R. Ford Amphitheater,21/07/2012,18:00,21:21,201
224,Tour,Vail,USA,Gerald R. Ford Amphitheater,22/07/2012,18:00,20:32,152
225,Tour,Vail,USA,Gerald R. Ford Amphitheater,25/07/2012,18:00,21:53,233
226,Tour,Vail,USA,Gerald R. Ford Amphitheater,26/07/2012,18:00,21:32,212
227,Tour,Vail,USA,Gerald R. Ford Amphitheater,27/07/2012,18:00,20:45,165
228,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/09/2012,19:30,22:50,200
229,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/09/2012,19:30,22:22,172
230,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2012,20:00,23:32,212
231,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/09/2012,20:00,23:10,190
232,Special,Manhattan,USA,Avery Fisher Hall,27/09/2012,19:30,21:59,149
233,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/09/2012,14:00,16:48,168
234,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/09/2012,20:00,22:02,122
235,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,29/09/2012,14:00,17:05,185
236,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/10/2012,19:30,22:01,151
237,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/10/2012,19:30,22:33,183
238,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/10/2012,20:00,22:55,175
239,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/10/2012,20:00,23:16,196
240,Recording Session Only,Manhattan,USA,Avery Fisher Hall,05/10/2012,10:00,12:08,128
241,Recording Session Only,Manhattan,USA,Avery Fisher Hall,06/10/2012,10:00,12:05,125
242,Insight Series,Manhattan,USA,New York Institute of Technology Broadway Auditorium,09/10/2012,18:30,22:39,249
243,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/10/2012,19:30,22:32,182
244,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/10/2012,19:30,22:02,152
245,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/10/2012,20:00,23:05,185
246,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/10/2012,20:00,23:03,183
247,Chamber,Manhattan,USA,Merkin Concert Hall,14/10/2012,15:00,17:58,178
248,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,15/10/2012,19:00,21:34,154
249,Sponsor Chamber Music,Peapack,USA,The Mansion at Natirar,22/10/2012,19:30,23:08,218
250,Special,Manhattan,USA,Avery Fisher Hall,16/10/2012,19:30,22:35,185
251,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/10/2012,19:30,23:45,255
252,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/10/2012,11:00,12:36,96
253,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/10/2012,19:30,22:04,154
254,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/10/2012,20:00,23:18,198
